HOUSEID,PERSONID,R_AGE,R_SEX,EDUC,NUMADLT,VEHID,HHVEHCNT,VEHFUEL,VEHAGE,HOMEOWN,DRVRCNT,HHFAMINC,HHSIZE,URBANSIZE,URBRUR,WRKCOUNT,HOMETYPE,YOUNGCHILD
9000013382,1,35,2,7,1,1,1,1,4,3,1,7,1,4,1,1,3,0
9000013398,2,63,1,3,2,1,2,1,3,3,2,6,2,5,1,1,2,0
9000013411,1,32,2,7,1,1,1,1,5,3,1,7,1,4,1,1,3,0
9000013438,2,30,1,8,2,2,2,1,4,4,2,6,3,6,1,2,1,1
9000013509,1,88,1,3,2,2,2,1,12,1,3,3,3,6,2,1,1,0
9000013512,1,64,1,4,1,1,1,1,15,1,1,6,1,3,1,1,1,0
9000013514,1,75,2,5,1,1,1,1,5,1,1,4,1,6,2,0,2,0
9000013519,1,68,2,4,2,1,2,1,3,2,2,7,2,4,1,1,1,0
9000013525,1,74,1,6,2,1,2,1,2,1,2,7,2,4,1,0,1,0
9000013533,2,42,1,3,2,2,2,1,14,3,2,5,2,2,1,1,3,0
9000013537,1,72,1,8,3,1,2,6,9,2,2,6,3,4,1,2,1,0
9000013541,1,38,2,8,1,1,1,1,5,3,1,11,1,4,1,1,3,0
9000013572,1,32,1,6,1,1,1,1,6,3,1,10,3,1,1,1,3,0
9000013589,1,75,1,8,2,2,2,6,1,2,2,9,2,4,1,0,2,0
9000013594,2,58,1,3,2,1,3,1,7,1,2,10,2,2,1,2,1,0
9000013598,2,83,1,3,2,1,1,1,9,2,2,5,2,4,1,0,1,0
9000013613,1,27,2,6,1,1,1,1,16,1,1,6,1,4,1,1,1,0
9000013626,1,59,1,7,2,1,2,4,4,1,2,10,2,4,1,2,1,0
9000013657,2,34,1,6,2,1,2,1,7,3,2,6,2,3,1,2,2,0
9000013670,2,72,2,4,2,2,2,1,1,2,2,7,2,4,1,0,1,0
9000013703,1,86,2,3,2,1,1,1,3,2,2,8,2,3,1,1,1,0
9000013704,2,67,1,3,2,1,2,1,1,2,2,4,2,1,1,0,1,0
9000013707,1,33,2,6,1,1,1,1,7,3,1,6,1,4,1,1,3,0
9000013761,1,81,1,6,1,1,1,1,3,2,1,4,1,3,1,0,1,0
9000013772,1,74,1,4,2,1,2,1,17,2,2,3,2,6,2,0,1,0
9000013812,1,65,1,4,4,3,4,1,1,2,4,10,4,4,1,3,1,0
9000013821,3,75,2,6,3,6,6,1,14,1,3,7,3,4,1,1,1,0
9000013826,2,68,2,4,2,2,2,1,5,1,2,11,2,2,1,1,2,0
9000013828,1,58,2,3,3,2,2,1,22,2,2,6,3,4,1,3,3,0
9000013837,1,65,2,6,1,1,1,1,14,2,1,3,1,4,1,0,1,0
9000013847,1,39,1,7,1,1,1,1,10,1,1,8,2,1,1,1,1,0
9000013854,1,69,1,4,1,1,1,1,15,3,1,3,1,2,1,0,3,0
9000013855,1,54,1,8,1,1,1,1,4,3,1,10,1,4,1,1,3,0
9000013889,2,48,2,7,3,2,2,1,4,1,2,11,5,4,1,2,1,0
9000013896,1,51,1,8,2,1,3,6,1,1,2,11,4,6,2,2,1,1
9000013899,1,65,2,8,1,1,1,1,6,2,1,2,1,2,1,0,1,0
9000013901,2,62,1,4,3,1,1,1,1,2,1,6,3,4,1,0,3,0
9000013922,1,74,2,7,1,1,1,1,6,2,1,6,1,6,2,0,1,0
9000013936,1,59,1,3,1,2,2,2,4,2,1,6,1,6,2,1,2,0
9000013938,1,67,1,4,3,1,2,1,3,1,3,6,3,6,1,0,1,0
9000013949,2,79,1,3,2,1,1,1,5,1,1,6,2,6,2,1,4,0
9000013953,1,29,2,4,1,1,1,1,12,3,1,4,2,6,1,1,3,0
9000013970,1,58,2,5,1,1,1,1,3,1,1,5,1,6,1,1,1,0
9000013982,1,53,1,4,1,2,2,1,8,1,1,7,2,6,1,1,1,1
9000013983,2,52,1,4,3,1,2,1,10,1,3,4,4,6,2,1,1,0
9000013986,1,36,1,4,2,1,2,1,3,3,2,3,5,6,1,2,3,2
9000013987,1,70,1,6,2,1,2,2,1,2,2,6,2,6,2,0,1,0
9000014012,1,60,2,3,2,1,1,1,23,3,2,1,4,6,2,0,3,0
9000014013,2,29,2,6,2,1,3,1,1,1,2,7,4,6,2,1,1,2
9000014017,2,32,1,2,2,1,1,1,15,3,2,3,3,6,2,2,4,0
9000014027,1,75,1,6,1,1,2,1,7,2,1,3,1,6,2,0,4,0
9000014029,2,34,2,3,2,1,1,1,8,1,1,5,6,6,1,1,2,1
9000014037,1,54,2,3,1,1,2,1,9,1,1,5,2,6,2,1,1,0
9000014050,2,55,2,5,2,1,3,1,1,1,2,7,2,6,2,2,1,0
9000014066,1,28,2,3,1,1,1,1,17,3,1,1,6,6,1,0,2,1
9000014086,1,65,1,6,1,1,1,1,24,2,1,5,1,2,1,1,3,0
9000014090,2,64,2,4,2,1,1,1,2,3,2,8,2,4,1,2,3,0
9000014092,2,52,2,6,2,2,2,1,3,3,2,7,2,5,1,2,2,0
9000014119,2,61,1,3,2,2,2,1,2,1,2,8,2,3,1,2,1,0
9000014136,2,59,1,3,2,1,2,1,2,2,2,6,3,4,1,2,1,0
9000014137,1,67,1,7,2,2,2,1,9,2,2,6,2,6,2,2,1,0
9000014147,1,63,1,5,2,1,2,1,6,1,2,8,2,2,1,2,1,0
9000014155,1,31,1,6,2,1,1,1,7,1,2,8,2,5,1,2,1,0
9000014159,1,65,1,2,1,1,1,1,27,1,1,1,1,3,1,0,1,0
9000014160,1,49,1,4,1,1,1,1,4,3,1,3,1,3,1,1,3,0
9000014175,1,58,2,6,1,1,1,1,9,1,1,5,1,5,1,1,1,0
9000014177,2,41,1,6,2,1,2,1,1,1,2,8,4,2,1,2,1,0
9000014183,1,92,2,4,1,1,1,1,18,1,1,3,1,2,1,0,1,0
9000014188,1,32,2,8,2,1,2,1,4,1,2,10,2,1,1,2,1,0
9000014197,1,69,2,5,1,1,1,1,14,3,1,5,1,5,1,0,3,0
9000014198,1,69,1,7,2,1,2,1,5,1,2,7,2,5,1,1,1,0
9000014202,1,38,2,4,3,2,2,1,7,3,2,5,5,1,1,1,1,1
9000014213,2,29,2,4,2,2,2,2,5,3,2,4,2,6,2,1,4,0
9000014214,1,44,1,6,2,2,2,4,8,1,2,9,3,5,1,2,1,0
9000014218,1,92,-8,3,1,1,17,97,1,4,1,1,1,1,1,0,5,0
9000014220,2,34,2,7,2,1,3,1,7,1,2,8,2,6,2,2,1,0
9000014228,1,75,1,7,1,1,1,1,1,1,1,7,1,5,1,0,2,0
9000014236,1,48,1,5,2,1,2,1,1,1,2,7,4,6,1,2,1,0
9000014259,1,59,2,4,2,1,2,1,19,1,2,3,2,6,2,1,1,0
9000014268,2,51,1,8,3,2,3,1,5,1,3,11,5,5,1,3,1,0
9000014271,2,66,2,5,2,1,2,1,6,2,2,5,2,2,1,0,1,0
9000014277,1,64,2,3,1,1,1,1,7,3,1,3,1,6,2,0,3,0
9000014280,1,67,1,5,2,1,2,1,2,1,2,6,2,5,1,0,1,0
9000014285,1,54,1,5,2,1,4,1,4,2,2,9,2,5,1,1,1,0
9000014287,2,31,1,7,2,1,2,1,7,1,2,7,2,5,1,2,1,0
9000014309,1,92,2,6,3,2,2,1,9,1,2,5,3,4,1,1,1,0
9000014324,1,78,1,7,2,1,1,1,6,2,2,7,2,5,1,0,2,0
9000014334,1,58,1,7,2,1,2,1,11,1,2,8,2,4,1,1,1,0
9000014346,2,42,1,5,3,3,3,1,9,1,3,9,3,3,1,3,1,0
9000014347,1,80,1,6,2,1,2,1,8,1,1,7,2,1,1,0,1,0
9000014348,1,60,-7,4,1,1,1,1,18,2,1,5,1,3,1,0,1,0
9000014349,1,43,1,6,1,1,3,1,15,1,1,6,1,2,1,1,1,0
9000014356,1,56,1,6,2,2,2,1,12,3,2,3,2,6,2,1,1,0
9000014360,2,73,1,7,2,1,2,1,5,2,2,5,2,3,1,0,1,0
9000014364,2,37,2,6,2,1,2,1,1,1,2,9,4,5,1,1,1,1
9000014371,1,62,2,4,1,1,2,1,5,2,1,7,1,6,2,0,1,0
9000014388,1,38,1,8,2,1,2,1,2,1,2,11,3,3,1,2,1,1
9000014395,2,65,2,7,2,3,3,2,7,2,2,6,2,6,2,1,1,0
9000014417,1,78,1,6,2,1,2,1,7,2,2,7,2,5,1,0,1,0
9000014422,2,50,1,7,3,1,3,1,4,1,3,9,4,3,1,3,1,0
9000014425,2,71,1,6,2,2,2,1,13,2,2,11,2,5,1,0,1,0
9000014436,1,29,1,6,1,1,1,1,5,3,1,5,1,2,1,1,3,0
9000014449,2,29,1,6,2,1,2,6,10,1,2,5,3,6,2,2,1,1
9000014454,2,37,1,8,2,1,1,1,7,1,2,7,2,1,1,2,1,0
9000014457,1,23,1,3,2,1,2,1,8,3,2,6,2,1,1,2,3,0
9000014465,1,40,1,4,2,1,2,1,8,3,2,4,5,5,1,1,3,2
9000014484,1,58,2,4,4,1,2,1,14,3,1,5,4,2,1,0,2,0
9000014485,1,71,1,8,2,2,3,1,18,1,2,11,2,4,1,1,1,0
9000014489,1,26,2,6,1,1,1,6,2,3,1,4,1,4,1,1,3,0
9000014505,1,48,1,6,2,2,2,1,6,3,2,10,2,4,1,1,1,0
9000014516,1,61,2,2,1,1,1,1,19,3,1,1,1,4,1,0,3,0
9000014555,2,50,2,5,3,2,4,1,4,2,3,10,3,6,2,2,1,0
9000014558,2,54,2,4,2,1,2,1,10,2,2,5,2,1,1,1,1,0
9000014580,1,86,1,3,2,2,2,1,5,3,2,5,2,1,1,0,1,0
9000014582,2,49,1,5,2,2,2,1,17,2,2,6,2,4,1,0,1,0
9000014585,1,59,1,8,2,1,1,1,22,1,2,11,2,5,1,0,1,0
9000014603,1,33,1,7,2,1,1,1,5,3,2,8,2,4,1,2,3,0
9000014608,1,48,2,5,2,2,4,1,13,1,3,6,3,4,1,2,1,0
9000014648,2,79,2,5,4,1,2,1,2,1,3,6,4,5,1,1,1,0
9000014666,1,65,1,5,2,1,1,1,2,2,2,6,2,2,1,0,1,0
9000014674,1,30,2,6,1,1,1,1,6,1,1,8,1,4,1,1,3,0
9000014686,1,54,1,6,2,1,2,1,6,1,2,6,8,6,2,1,1,1
9000014694,1,56,2,3,2,3,3,1,1,1,1,6,2,4,1,1,1,0
9000014698,1,31,1,3,2,1,2,1,7,3,2,5,3,2,1,2,3,0
9000014700,1,66,1,5,2,2,2,1,1,1,2,7,2,6,2,1,1,0
9000014708,3,72,2,4,3,2,2,1,8,1,2,7,3,6,2,0,1,0
9000014709,2,64,1,4,2,1,2,1,2,2,2,6,2,6,2,0,1,0
9000014723,1,38,2,3,1,1,1,1,1,2,1,3,3,6,2,1,4,0
9000014736,2,32,1,3,2,1,3,1,10,1,2,5,4,6,2,2,1,2
9000014737,1,80,2,5,1,1,1,1,19,1,1,3,1,6,2,0,1,0
9000014740,1,79,1,4,2,2,3,1,5,2,1,6,2,6,2,0,1,0
9000014758,2,51,1,4,2,1,2,1,2,1,2,9,3,6,1,2,1,0
9000014821,1,53,1,4,1,1,1,1,11,3,1,3,1,6,1,1,1,0
9000014823,1,62,1,4,2,1,3,1,3,1,2,7,3,6,2,1,1,0
9000014824,2,59,2,5,2,1,2,1,8,2,2,9,2,6,2,2,1,0
9000014828,1,84,2,7,1,1,1,1,4,2,1,2,1,6,2,0,1,0
9000014830,1,58,2,4,2,3,3,1,3,2,2,7,2,6,1,2,1,0
9000014836,2,34,1,6,2,2,2,1,2,1,2,8,2,6,2,2,1,0
9000014845,2,44,1,8,2,2,2,1,5,1,2,7,4,6,1,2,1,0
9000014863,1,41,2,3,2,2,3,1,4,1,2,7,3,6,2,2,1,1
9000014868,2,39,1,6,2,2,2,1,7,1,2,9,4,6,2,2,1,1
9000014873,1,59,2,5,1,1,1,1,8,3,1,3,1,6,2,0,1,0
9000014879,1,85,1,5,2,1,1,1,7,2,2,4,2,6,1,0,1,0
9000014883,1,73,2,3,1,1,1,1,3,2,1,3,1,6,2,0,1,0
9000014893,1,80,1,2,2,2,2,1,16,1,1,3,2,6,2,0,1,0
9000014901,1,61,2,6,2,2,2,1,13,2,2,5,2,6,2,2,1,0
9000014903,3,32,1,3,2,1,2,1,2,1,2,5,3,6,1,2,1,1
9000014913,2,40,1,6,2,1,3,6,7,1,2,7,3,6,2,2,1,1
9000014928,1,66,2,3,2,9,11,1,3,2,2,2,2,6,1,1,1,0
9000014961,2,73,1,3,2,1,3,1,3,1,2,6,2,6,2,0,1,0
9000014962,1,59,1,5,1,1,1,1,40,1,1,6,1,6,2,1,1,0
9000014965,1,52,1,6,1,2,5,1,5,2,2,5,3,6,1,1,1,0
9000014970,1,46,1,6,2,1,1,1,19,2,2,5,2,6,2,1,1,0
9000014990,1,42,1,6,1,1,1,1,7,1,1,6,2,1,1,1,1,0
9000014994,1,23,2,6,1,1,1,1,13,3,1,4,1,5,1,1,3,0
9000014995,1,88,1,4,1,2,2,1,13,2,1,5,1,5,1,0,1,0
9000014996,1,52,1,4,2,1,1,1,12,2,1,4,2,3,1,2,2,0
9000014998,1,64,2,6,1,1,1,1,2,2,1,8,1,1,1,0,1,0
9000015013,1,38,2,6,2,4,5,1,1,1,2,8,4,6,2,2,1,0
9000015016,2,29,1,3,2,2,2,1,7,3,2,7,2,5,1,2,3,0
9000015025,1,51,2,7,2,1,2,1,3,3,2,6,2,1,1,2,2,0
9000015063,1,75,2,7,2,2,2,1,1,1,2,11,2,5,1,2,1,0
9000015070,1,79,2,3,1,1,1,1,6,2,1,3,1,5,1,0,1,0
9000015084,1,79,1,7,2,1,2,1,10,2,2,5,2,1,1,0,2,0
9000015086,1,36,1,5,2,2,2,1,4,1,2,7,4,2,1,2,1,1
9000015091,1,59,1,3,2,3,4,1,7,1,3,8,3,6,2,2,1,0
9000015100,1,47,1,3,1,1,1,1,3,3,1,7,1,6,2,1,3,0
9000015108,1,53,1,7,1,1,1,1,15,3,1,8,1,2,1,1,3,0
9000015124,1,43,1,6,2,1,2,1,1,1,2,9,4,5,1,1,1,0
9000015137,1,60,2,3,2,2,2,1,15,3,2,6,3,3,1,2,3,0
9000015142,2,60,1,4,2,2,2,1,2,1,2,7,2,6,2,2,1,0
9000015145,1,76,2,7,1,1,1,6,6,1,1,6,1,5,1,0,2,0
9000015146,1,32,1,6,1,1,1,1,9,1,1,7,1,5,1,1,2,0
9000015150,1,53,1,7,2,1,3,1,3,1,2,11,2,5,1,2,1,0
9000015165,1,44,1,6,2,1,1,6,15,1,1,11,2,5,1,1,1,0
9000015170,2,55,1,4,2,2,3,1,8,1,2,7,3,6,2,1,1,0
9000015172,1,59,2,6,2,2,2,1,4,2,2,10,2,5,1,2,1,0
9000015173,1,32,2,4,2,2,2,1,4,1,2,6,2,3,1,2,1,0
9000015184,2,39,1,7,2,2,2,1,3,1,2,9,3,3,1,2,1,1
9000015187,1,50,1,4,2,2,3,1,13,2,2,4,5,6,1,2,4,0
9000015199,1,53,1,5,1,1,1,1,2,2,1,4,1,6,2,1,1,0
9000015203,2,60,1,6,2,1,3,1,7,1,2,7,2,6,2,2,1,0
9000015205,1,25,1,4,2,1,2,1,1,3,2,5,4,6,1,0,2,2
9000015210,1,66,2,4,1,1,1,1,17,3,1,5,1,6,1,1,3,0
9000015216,1,37,1,6,2,1,2,1,3,2,2,9,2,6,1,2,1,0
9000015224,2,30,1,7,2,2,2,1,7,3,2,7,2,6,1,2,2,0
9000015230,1,53,1,3,1,1,4,1,2,1,1,6,1,6,2,1,1,0
9000015233,1,28,1,6,2,2,2,1,2,1,2,8,2,6,2,2,1,0
9000015234,2,53,2,3,2,3,3,1,15,2,2,6,2,6,2,1,1,0
9000015238,1,24,2,3,2,1,2,1,22,2,2,1,2,6,2,1,1,0
9000015239,2,52,1,3,2,1,4,1,18,1,2,5,3,6,2,1,1,0
9000015244,1,77,1,4,2,1,2,1,21,2,2,5,2,6,1,0,1,0
9000015246,4,75,2,3,4,5,5,1,4,1,4,-7,4,6,2,2,1,0
9000015262,2,75,1,3,2,1,3,1,8,2,1,6,2,6,2,0,1,0
9000015276,1,92,2,6,1,1,1,1,12,2,1,4,1,6,2,0,4,0
9000015282,1,74,1,8,2,1,2,1,5,2,2,6,2,6,2,2,1,0
9000015283,2,41,1,1,2,2,3,1,1,1,4,-7,5,6,2,2,1,0
9000015289,1,38,2,3,3,1,1,1,7,1,3,5,3,6,1,2,1,0
9000015291,1,71,1,6,2,3,3,1,3,2,2,4,2,6,2,0,1,0
9000015293,1,65,1,5,2,3,4,1,5,2,2,7,2,6,2,1,1,0
9000015299,1,54,1,3,1,1,1,1,22,3,1,1,1,6,2,0,1,0
9000015310,2,41,1,3,3,1,3,1,6,1,3,4,6,6,2,1,1,0
9000015343,1,66,1,7,1,1,3,1,14,1,1,7,1,6,2,1,4,0
9000015349,1,63,1,5,2,1,2,1,2,2,2,5,2,6,2,0,1,0
9000015362,1,67,1,6,2,2,2,1,3,1,2,6,2,6,2,1,1,0
9000015368,1,62,1,3,2,2,3,1,7,2,2,7,2,6,2,1,1,0
9000015384,1,68,2,3,1,1,1,1,19,2,1,3,1,6,1,0,1,0
9000015385,2,80,1,6,2,2,2,1,6,2,2,6,2,6,2,0,1,0
9000015387,1,72,2,3,1,1,1,1,7,3,1,1,1,6,2,0,3,0
9000015405,1,71,1,8,2,2,2,1,7,1,2,11,2,4,1,0,1,0
9000015419,1,48,2,3,1,1,1,1,7,3,1,3,1,5,1,1,3,0
9000015425,1,80,2,3,1,1,1,1,15,3,1,3,1,4,1,0,3,0
9000015435,2,20,1,3,2,1,2,1,1,3,2,3,2,5,1,2,3,0
9000015444,1,64,2,6,3,1,2,6,6,1,3,9,5,2,1,2,1,0
9000015449,1,84,2,4,2,1,1,1,1,1,2,5,2,5,1,0,1,0
9000015451,2,27,1,6,2,2,2,1,6,1,2,10,2,3,1,2,1,0
9000015454,1,74,1,2,2,2,2,1,1,1,2,6,2,5,1,0,1,0
9000015463,1,59,2,4,2,2,2,1,5,1,2,9,2,4,1,1,1,0
9000015479,3,60,1,3,4,2,3,1,4,2,3,6,4,4,1,2,2,0
9000015486,4,66,1,2,4,2,2,1,4,2,4,7,5,5,1,2,1,0
9000015495,2,51,2,4,4,2,4,1,6,1,4,8,4,5,1,3,1,0
9000015514,1,50,1,4,1,1,1,1,6,3,1,8,1,5,1,1,3,0
9000015525,2,41,1,4,2,2,2,1,4,1,2,9,2,4,1,2,1,0
9000015535,1,26,2,4,2,2,2,1,1,1,2,4,4,6,2,2,4,1
9000015542,1,61,1,8,2,2,2,1,4,2,2,11,2,1,1,2,1,0
9000015550,1,66,2,4,3,2,2,1,6,1,2,8,3,3,1,2,1,0
9000015562,1,58,1,4,1,1,1,1,23,2,1,6,1,3,1,1,1,0
9000015566,1,41,1,7,2,2,2,1,5,2,2,11,3,4,1,1,1,0
9000015571,1,60,1,6,2,1,2,1,1,1,2,8,3,6,2,2,1,0
9000015572,1,62,1,6,2,2,2,1,5,2,2,11,2,5,1,0,1,0
9000015575,1,25,2,7,1,1,1,1,14,3,1,3,1,1,1,1,3,0
9000015584,2,54,2,3,4,2,4,1,5,1,4,9,4,6,2,4,1,0
9000015587,1,65,2,6,1,1,1,1,10,2,1,4,1,3,1,1,1,0
9000015607,1,29,1,6,1,1,1,1,1,3,1,6,1,4,1,1,3,0
9000015623,1,64,1,7,2,1,3,1,6,2,2,8,2,5,1,1,1,0
9000015626,2,45,1,6,2,1,2,1,9,1,2,11,4,6,2,0,1,1
9000015627,2,62,2,3,2,1,1,1,18,2,1,3,2,6,2,0,4,0
9000015638,2,67,1,6,2,2,2,1,3,2,2,7,2,5,1,0,1,0
9000015657,2,27,1,6,2,2,2,1,9,3,2,8,2,4,1,2,2,0
9000015676,1,56,1,6,2,2,2,1,4,2,2,11,2,2,1,0,1,0
9000015677,1,22,2,3,2,1,1,1,5,3,2,5,2,6,2,2,3,0
9000015678,2,64,1,7,2,1,2,1,6,1,2,11,2,5,1,2,1,0
9000015687,1,38,2,5,2,2,2,1,2,1,2,7,4,2,1,2,1,0
9000015699,2,68,1,6,2,2,2,1,6,2,2,6,2,4,1,1,1,0
9000015701,2,87,2,3,2,1,1,1,14,2,1,7,2,3,1,1,1,0
9000015706,1,65,2,8,1,1,1,1,8,1,1,10,1,2,1,1,2,0
9000015719,1,40,2,5,5,3,3,1,10,2,5,6,8,6,2,5,4,1
9000015722,1,73,1,3,2,1,3,1,3,1,2,6,2,5,1,0,1,0
9000015747,1,80,1,7,2,2,2,1,7,1,2,8,2,4,1,0,1,0
9000015757,1,71,2,7,1,1,1,1,2,2,1,6,1,4,1,0,3,0
9000015758,2,74,2,5,2,1,3,6,2,2,2,6,2,3,1,0,1,0
9000015759,1,52,1,3,1,1,1,1,3,3,1,4,1,4,1,1,3,0
9000015761,2,42,2,4,2,2,2,1,7,1,2,8,4,6,1,2,1,0
9000015769,2,54,1,7,2,1,2,1,5,1,2,7,2,2,1,1,1,0
9000015772,1,70,1,3,1,1,1,1,1,1,1,7,1,4,1,0,1,0
9000015790,2,69,1,5,2,1,3,1,6,3,2,11,2,5,1,1,1,0
9000015799,2,88,2,6,2,1,1,1,8,1,1,10,2,4,1,1,1,0
9000015807,2,74,1,6,3,1,1,1,9,1,2,5,3,5,1,1,2,0
9000015836,1,46,2,6,1,1,1,6,9,2,1,3,1,6,2,1,1,0
9000015840,1,57,2,5,1,1,1,1,26,3,1,4,1,4,1,1,1,0
9000015841,2,71,1,3,2,2,4,2,1,1,2,6,2,5,1,0,1,0
9000015858,1,80,2,7,1,1,1,6,7,2,1,7,1,3,1,0,1,0
9000015867,2,65,2,7,2,1,3,1,3,1,2,10,2,4,1,1,1,0
9000015872,2,52,1,6,2,1,1,1,3,1,2,11,2,4,1,2,1,0
9000015878,2,69,2,4,2,3,3,1,1,1,2,10,2,2,1,0,1,0
9000015883,1,60,1,6,2,1,2,2,1,2,2,11,2,5,1,2,1,0
9000015892,1,32,2,6,2,1,2,1,4,1,2,8,4,5,1,2,1,1
9000015899,3,52,1,6,3,2,3,1,1,1,3,7,3,1,1,3,1,0
9000015901,2,55,1,4,2,1,2,1,11,1,2,7,2,2,1,1,1,0
9000015905,1,58,1,5,2,1,2,1,5,3,2,6,2,6,1,0,1,0
9000015939,3,80,2,3,3,3,4,6,3,1,3,9,3,4,1,2,1,0
9000015963,1,64,2,5,2,1,1,1,17,2,2,3,2,6,2,0,4,0
9000015977,1,31,1,7,2,1,2,1,10,1,2,7,2,2,1,2,1,0
9000015981,1,62,2,3,2,4,4,1,9,1,2,5,2,6,2,1,1,0
9000015987,1,84,1,6,2,1,2,1,10,2,2,7,2,4,1,0,1,0
9000015990,2,70,2,3,2,2,5,1,8,2,2,4,2,6,2,0,1,0
9000015993,1,50,1,4,2,1,2,1,17,4,2,6,4,4,1,1,2,0
9000015997,1,49,2,6,1,1,1,1,12,1,2,9,3,6,2,1,1,0
9000015999,1,72,2,4,2,1,1,1,3,1,2,3,2,6,2,1,1,0
9000016004,1,75,1,5,2,1,2,1,7,2,2,6,2,6,2,0,1,0
9000016010,1,31,2,6,2,1,2,1,1,3,2,5,2,4,1,2,2,0
9000016027,2,65,2,4,2,1,2,1,5,3,2,7,2,5,1,2,2,0
9000016036,3,68,2,3,3,2,3,1,2,1,3,11,3,6,2,2,2,0
9000016054,1,73,1,7,2,2,2,6,9,2,2,7,2,1,1,0,2,0
9000016059,1,70,1,7,3,2,3,4,2,2,3,8,3,6,2,1,1,0
9000016060,1,45,-7,6,1,1,1,1,9,1,1,-7,1,4,1,0,2,0
9000016063,1,55,1,7,1,1,1,1,12,2,1,9,1,4,1,1,1,0
9000016079,2,37,1,6,2,2,2,1,1,3,2,6,3,4,1,0,3,1
9000016080,1,61,2,6,1,1,1,6,10,1,1,10,1,1,1,1,1,0
9000016081,2,39,1,6,2,2,2,1,6,3,2,5,2,5,1,1,1,0
